"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:221qmpQeBNV87sUjQeUTVH","Around Me (feat. Don Toliver)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:4Gso3d4CscCijv0lmajZWs","Metro Boomin, Don Toliver","spotify:album:7txGsnDSqVMoRl6RQ9XyZP","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","2022-12-02","https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89","1","7","191520","https://p.scdn.co/mp3-preview/c99c5ea731e64588dc8f3dbb7655602df5ddf12e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUG12208788","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:7EiZI6JVHllARrX9PUvAdX","Low Life (feat. The Weeknd)","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Future, The Weeknd","spotify:album:3jJKDKdlwRS584zUlHV2Ly","EVOL","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2016-04-13","https://i.scdn.co/image/ab67616d0000b2732f62a05cc754995b544ec1f6","1","10","313546","https://p.scdn.co/mp3-preview/a6c9f83f366b72e2dea1639b108fe9076fad207e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USSM11600557","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:40V0hYj5mb4C22rse9zpX1","The Grim Weeper","spotify:artist:1TpOqFPZPxxeuLHL3oSl2t","Diggy Graves","spotify:album:1uOR0O1eiHLxQ0ruqy2Bdu","The Grim Weeper","spotify:artist:1TpOqFPZPxxeuLHL3oSl2t","Diggy Graves","2023-10-27","https://i.scdn.co/image/ab67616d0000b2733d318a4d82740d87b4597c29","1","1","185777","https://p.scdn.co/mp3-preview/e9b2bc0b16336ca88c8143f8cb92cfd2b2965a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USL4R2326827","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:05RMPtk5ybYhkuY3qjlaHa","Rasengan","spotify:artist:7hsyLArBqyxYqQF2ODoT3c","Turbo Knight","spotify:album:46rcx1ktEeepldl3FLpIIt","Rasengan","spotify:artist:7hsyLArBqyxYqQF2ODoT3c","Turbo Knight","2018-01-25","https://i.scdn.co/image/ab67616d0000b273b4ba36fd76eeeee551a3a80f","1","1","307545","https://p.scdn.co/mp3-preview/026264eddf24e5d5d401317e7f101540ecae31eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","QZAPG1890817","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:2CnscesDhDpF7LpURtgBEv","Own Me","spotify:artist:5vBrKGOjN10BMwB0cJADj4","bülow","spotify:album:75OmZv2K9rN3ySHEvc8GIQ","The Contender","spotify:artist:5vBrKGOjN10BMwB0cJADj4","bülow","2019-10-04","https://i.scdn.co/image/ab67616d0000b27387da18a1723e6d4bf79d6051","1","1","209306","https://p.scdn.co/mp3-preview/419f115d193e2dcbbb9c65e8817236de8ff0e663?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","CAUM71900291","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","6","218146","https://p.scdn.co/mp3-preview/beb04a51a925ea2ed2fb7c2363b7b3fa37ebc89b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USUM71710087","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:5cFyEZnK6o05ejxtJ78esm","Numb (feat. DeathbyRomy & PVRIS)","spotify:artist:4u5smJBskI6Adzv08PuiUP, spotify:artist:7aWpPjjgItUnXljFxYYKZI, spotify:artist:6oFs3qk4VepIVFdoD4jmsy","Kiiara, DeathbyRomy, PVRIS","spotify:album:0AUG7Sa8IIiCHTW6GONdf2","lil kiiwi","spotify:artist:4u5smJBskI6Adzv08PuiUP","Kiiara","2020-10-09","https://i.scdn.co/image/ab67616d0000b2733df320c7de5212472b93d4a0","1","10","203158","https://p.scdn.co/mp3-preview/a403e342e47a6b72d97913c75c05b9b399092347?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","USAT22003172","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:3kcTFW5BckceRgCXUArQCp","Play Pretend","spotify:artist:1ikID9RZZMvkuBGDWrqajq, spotify:artist:00ikun7J44pU2UOJi2rtwn","Kasbo, Ourchives","spotify:album:4yrjPmonSHiJIHum5TrqEe","The Making of a Paracosm","spotify:artist:1ikID9RZZMvkuBGDWrqajq","Kasbo","2020-10-23","https://i.scdn.co/image/ab67616d0000b2736d2ea01f1b5163f4a0df48a2","1","2","269454","https://p.scdn.co/mp3-preview/07c5c50cfde5114e71b0180956753c1fe2b32d9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBCFB1900293","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:6nwDsRueps9eZU3cQOm28S","Kosandra","spotify:artist:6tqRPlUavLUI398ZRw7M6e, spotify:artist:3TdSq8IneF2qs2NFkwJnHb","yeanix, Real girl","spotify:album:38yWsUCgbxDWoT8xyv0EsZ","Kosandra","spotify:artist:6tqRPlUavLUI398ZRw7M6e, spotify:artist:3TdSq8IneF2qs2NFkwJnHb","yeanix, Real girl","2022-02-26","https://i.scdn.co/image/ab67616d0000b2732fb8dad1c9c9d2c924b20712","1","1","141792","https://p.scdn.co/mp3-preview/af950a0c4a0d693014ac93c756c14ea9bb45b14d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZPEW2232985","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:2vXKRlJBXyOcvZYTdNeckS","Lost in the Fire (feat. The Weeknd)","spotify:artist:3hteYQFiMFbJY7wS0xDymP, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Gesaffelstein, The Weeknd","spotify:album:0JA38Ekhsv43y2lBj5GQkQ","Hyperion","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","2019-03-08","https://i.scdn.co/image/ab67616d0000b2737842fd51802451ff61483dcf","1","3","202093","https://p.scdn.co/mp3-preview/bb6be3c611177685ba91254a63aae326c6143739?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USQX91803314","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:4MEwDrdghGkdT4tu4O1y4r","Never In The Middle","spotify:artist:0JFKmdLuTj0yZi9P05a85X","Teflon Sega","spotify:album:6VogkCURIQjlRnoMd2xEi2","Welcome To The Mourning Show","spotify:artist:0JFKmdLuTj0yZi9P05a85X","Teflon Sega","2023-04-28","https://i.scdn.co/image/ab67616d0000b27319a07b31c7439026b50810a6","1","7","167875","https://p.scdn.co/mp3-preview/f8ad3ce79d4b63263ecf7784a03a6a2d964cf941?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","USUYG1418165","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:7CZyCXKG6d5ALeq41sLzbw","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:6ZLTlhejhndI4Rh53vYhrY, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Post Malone, Ozzy Osbourne, Travis Scott","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","9","229573","https://p.scdn.co/mp3-preview/4212daa40ad717debecda340e929258d5f55cc7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71915731","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:58QhkbaAkLFnn7JwAnAato","Fall","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:3HNnxK7NgLXbDoxRZxNWiR","Kamikaze","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2018-08-31","https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73","1","10","262493","https://p.scdn.co/mp3-preview/6fdcebb2c8e54ef6d95cdfcd7cd849c6fd5381f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUM71813341","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:6S39fhexETOGjnvcOOKSZm","Hanging On - Edit","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","spotify:album:4754Cgv1sdfwTpdVX83xAC","Halcyon","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding","2012-01-01","https://i.scdn.co/image/ab67616d0000b2730fe8bc522921dc5eeccdb50d","1","8","201788","https://p.scdn.co/mp3-preview/b9d78961291c2906f5cf72e76cb67ee08e46705d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBUM71204893","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:6jmTHeoWvBaSrwWttr8Xvu","I Mean It (feat. Remo)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:253mZZhgkLOjbAuogZiNbc","G-Eazy, Remo the Hitmaker","spotify:album:6wDc63NhKy2PyXdbhkRmrl","These Things Happen","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2014-06-23","https://i.scdn.co/image/ab67616d0000b273bdfe4efd674482cf5ac88c99","1","3","236480","https://p.scdn.co/mp3-preview/65fc6e30e41d1253880731912a1e3d0f0033e3ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USRC11400730","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:64BbK9SFKH2jk86U3dGj2P","Otherside","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1999-06-08","https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595","1","4","255373","https://p.scdn.co/mp3-preview/90076510970ced8308b85cd65776f75b99d97e7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USWB19900693","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:2jt2WxXMCD4zjACthkJQVE","The Ringer","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:3HNnxK7NgLXbDoxRZxNWiR","Kamikaze","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2018-08-31","https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73","1","1","337941","https://p.scdn.co/mp3-preview/e40e69c6116b7c8a18b6dd22c788dd6773bd770b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USUM71813329","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:6n2mSMIi9NFRM1a8Ooqg21","California Girls - Remix","spotify:artist:5Lhxlge1CR1DrgDAje8Qaw, spotify:artist:2zHHEU3t9cutZFyG0fHdOR","NoMBe, Sonny Alven","spotify:album:2tsdjngXUdHUeCHVMMLop6","California Girls (Remix)","spotify:artist:5Lhxlge1CR1DrgDAje8Qaw, spotify:artist:2zHHEU3t9cutZFyG0fHdOR","NoMBe, Sonny Alven","2016-09-16","https://i.scdn.co/image/ab67616d0000b27397d41112c9ea10cf79c341ec","1","1","187402","https://p.scdn.co/mp3-preview/40ac4925b21d699ff4299a7cf0afe9821c276f91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NOUM71602474","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
